iter	Logloss
273	0.3423725678
274	0.342281881
275	0.3420311073
276	0.3417325496
277	0.341581527
278	0.3413746473
279	0.3412819293
280	0.3409621746
281	0.3408110607
282	0.3406429894
283	0.3405146
284	0.3404140399
285	0.3402489174
286	0.3401260985
287	0.3399328915
288	0.3397770485
289	0.3395690172
290	0.3393160182
291	0.33915267
292	0.3390001105
293	0.338844134
294	0.338617899
295	0.338499665
296	0.3383335815
297	0.338190889
298	0.3380702267
299	0.3378553342
300	0.3376417667
301	0.3375754833
302	0.3374475987
303	0.3372612562
304	0.3370876742
305	0.3368412074
306	0.3366566481
307	0.3365729985
308	0.3363640427
309	0.3362166395
310	0.3361599137
311	0.3360870922
312	0.3359255532
313	0.3357305605
314	0.3356184049
315	0.335513724
316	0.3353389058
317	0.3351262206
318	0.3350157908
319	0.3347772746
320	0.3347251312
321	0.3345728166
322	0.3345165733
323	0.3343811687
324	0.3342947404
325	0.3340584232
326	0.3339067264
327	0.3336960623
328	0.3335394736
329	0.3334187754
330	0.3332250121
331	0.3330415386
332	0.3328305798
333	0.3326460109
334	0.3323970714
335	0.3322644272
336	0.3321718034
337	0.3320887182
338	0.3319699745
339	0.3318917499
340	0.3317122985
341	0.3315110977
342	0.3314663413
343	0.3313285632
344	0.3312447725
345	0.3311230242
346	0.331026972
347	0.3308829371
348	0.3306946092
349	0.3304444528
350	0.3301967886
351	0.3300804635
352	0.3299337589
353	0.3296894389
354	0.3295653565
355	0.3294386035
356	0.3292677428
357	0.3290301818
358	0.3288106442
359	0.3287035703
360	0.3284671857
361	0.328353457
362	0.3282289408
363	0.3280594235
364	0.3278446022
365	0.3277798111
366	0.3276438475
367	0.3274726246
368	0.3273557058
369	0.3272068873
370	0.3270358863
371	0.3269368941
372	0.3266278593
373	0.3265252336
374	0.3263937289
375	0.3262736078
376	0.3261095124
377	0.325963907
378	0.3258473505
379	0.3257291718
380	0.3255942925
381	0.3253998599
382	0.3252216598
383	0.325044045
384	0.3249630306
385	0.3248508948
386	0.3247043557
387	0.3245411946
388	0.3243948585
389	0.3242301871
390	0.3241400831
391	0.3240624181
392	0.3239421215
393	0.3238393019
394	0.3237646696
395	0.3237227311
396	0.3236068533
397	0.3235040118
398	0.3233644254
399	0.3232766564
400	0.3231247632
401	0.3229846443
402	0.3227801715
403	0.3225863365
404	0.322434088
405	0.3223381598
406	0.3222283871
407	0.3221351013
408	0.3220555804
409	0.321944582
410	0.3218555007
411	0.3217332794
412	0.3216063959
413	0.3214414623
414	0.3212684454
415	0.3210752996
416	0.3208972898
417	0.3207942389
418	0.3206191173
419	0.3204764702
420	0.3203093662
421	0.320175603
422	0.3200787668
423	0.3199865416
424	0.3198636554
425	0.3197553573
426	0.3196146268
427	0.3194904225
428	0.3193720519
429	0.3192119878
430	0.3190879529
431	0.3189687634
432	0.3188651708
433	0.3187820181
434	0.3186260232
435	0.3183687363
436	0.3181157169
437	0.3179427738
438	0.317823689
439	0.3176624421
440	0.3175422914
441	0.3174020546
442	0.3172923715
443	0.3171336803
444	0.3169972755
445	0.3169155079
446	0.3168519312
447	0.316740736
448	0.3166964122
449	0.3165997208
450	0.3164969926
451	0.3163174561
452	0.3162416538
453	0.3161482652
454	0.3160089528
455	0.3159468185
456	0.3158555435
457	0.3156334495
458	0.3154718181
459	0.315312215
460	0.3152660923
461	0.3151071218
462	0.3149951218
463	0.3149466791
464	0.3148055385
465	0.3147552555
466	0.3146627149
467	0.3144832842
468	0.3144099833
469	0.3142035466
470	0.3140844829
471	0.3139624917
472	0.3139215009
473	0.3137631991
474	0.3136296143
475	0.3135437315
476	0.313437993
477	0.3134062399
478	0.3133316924
479	0.313202109
480	0.3131549277
481	0.3130481532
482	0.3130111041
483	0.3129104417
484	0.3128459509
485	0.3127826069
486	0.3126909605
487	0.3126003546
488	0.3124934691
489	0.312445238
490	0.3122870759
491	0.312197715
492	0.3121193245
493	0.3119644523
494	0.3118108368
495	0.3116902964
496	0.3114474334
497	0.3113307625
498	0.3112879411
499	0.3112203215
500	0.3110946027
501	0.3109616125
502	0.3108823646
503	0.3107361057
504	0.3106048786
505	0.3104406439
506	0.3103252746
507	0.3101835611
508	0.3101056019
509	0.3099659624
510	0.3098374559
511	0.3097047355
512	0.3096350673
513	0.3094453107
514	0.3093532802
515	0.3092116355
516	0.3090765871
517	0.3089930983
518	0.308840121
519	0.3087411427
520	0.3085888448
521	0.3084781599
522	0.3083228251
523	0.3082082034
524	0.3080313556
525	0.3078885484
526	0.3077833702
527	0.3077397491
528	0.3076494404
529	0.3075327909
530	0.3073745491
531	0.3071821461
532	0.3071208973
533	0.3070279355
534	0.3068874216
535	0.306770492
536	0.306717577
537	0.3066329466
538	0.3065196427
539	0.3064496679
540	0.3063498862
541	0.3061838381
542	0.3060983883
543	0.3060510774
544	0.3059096681
545	0.3057998043
546	0.3056223928
547	0.3055563018
548	0.3054029565
549	0.3051749275
550	0.3050631222
551	0.3049793148
552	0.304869812
553	0.3046500757
554	0.3046069743
555	0.3044753944
556	0.3042545663
557	0.3040564479
558	0.3039716311
559	0.3039055546
560	0.3037945551
561	0.3036708651
562	0.3035179549
563	0.3034669133
564	0.3032937891
565	0.3031492669
566	0.3030334727
567	0.302924512
568	0.3028037571
569	0.302697726
570	0.3025740983
571	0.3024755552
572	0.3022644802
573	0.3020877791
574	0.3019582872
575	0.3018097495
576	0.3017619435
577	0.3015825917
578	0.3015504666
579	0.301508216
580	0.3013545802
581	0.3012642607
582	0.3011241304
583	0.301040491
584	0.3008737279
585	0.3007282781
586	0.3006407567
587	0.3005401135
588	0.3003906928
589	0.3003053301
590	0.2999703486
591	0.299864249
592	0.2996481104
593	0.299548497
594	0.2994829014
595	0.2993077317
596	0.2991200725
597	0.2988686704
598	0.2986649297
599	0.2985381245
600	0.2984046166
601	0.2982899826
602	0.2981499271
603	0.2980535484
604	0.2979902671
605	0.2977585828
606	0.2975349604
607	0.2973261808
608	0.2972683522
609	0.2971863081
610	0.2969675931
611	0.2969163821
612	0.2968135732
613	0.2966278962
614	0.296509015
615	0.2963338573
616	0.296136751
617	0.2960784452
618	0.2959794907
619	0.2957332221
620	0.295601508
621	0.2954441179
622	0.2953486388
623	0.2953066402
624	0.2951335503
625	0.295007329
626	0.2948932125
627	0.2947940154
628	0.2946815498
629	0.2946059894
630	0.2944656236
631	0.2942355935
632	0.2941451103
633	0.2940209562
634	0.2939438282
635	0.2938328808
636	0.2937141206
637	0.2936323925
638	0.2934701719
639	0.2933430156
640	0.2932315191
641	0.2931358525
642	0.2930216812
643	0.2928123971
644	0.2927311501
645	0.2925842423
646	0.2923528824
647	0.292235857
648	0.292029647
649	0.2918104345
650	0.2916451991
651	0.2915685397
652	0.2914925854
653	0.2913620268
654	0.2912054719
655	0.2910880671
656	0.2909339037
657	0.2907066822
658	0.2905859817
659	0.2904855827
660	0.2903323969
661	0.2902856806
662	0.2901937474
663	0.2900204048
664	0.2898717283
665	0.2896896522
666	0.2895573308
667	0.2894305051
668	0.289304378
669	0.2890938705
670	0.2890164587
671	0.2887908954
672	0.2886439819
673	0.2885125853
674	0.2883753169
675	0.2883092064
676	0.2882084359
677	0.2880698526
678	0.2879839365
679	0.2878822688
680	0.2878430709
681	0.2877702287
682	0.2876999635
683	0.2875757618
684	0.2874737666
685	0.287385571
686	0.2871754177
687	0.2870338794
688	0.2869489826
689	0.2867699012
690	0.2866257856
691	0.286470188
692	0.2864154644
693	0.2863133157
694	0.2862149986
695	0.2860974836
696	0.2859402217
697	0.2857628257
698	0.2855538087
699	0.2854081786
700	0.2852941918
701	0.2851934887
702	0.2850169659
703	0.2849579103
704	0.2847089925
705	0.2846031782
706	0.2845641158
707	0.284428554
708	0.2843232739
709	0.2841754324
710	0.2840444986
711	0.2839544022
712	0.28383796
713	0.2836190469
714	0.2834749227
715	0.2834189194
716	0.2833268519
717	0.2831557119
718	0.2830247607
719	0.2828423687
720	0.2826809416
721	0.2824958195
722	0.2822553496
723	0.2821410196
724	0.2819006041
725	0.2817390487
726	0.281606997
727	0.281459318
728	0.2812834144
729	0.2811364942
730	0.2809927722
731	0.2808803015
732	0.280695081
733	0.2806664787
734	0.280477581
735	0.2803521701
736	0.2801885088
737	0.2801664168
738	0.2800770669
739	0.2799022901
740	0.2797699693
741	0.2795468878
742	0.2794309052
743	0.2793294827
744	0.279178885
745	0.2791272902
746	0.2790124429
747	0.278773167
748	0.2785128066
749	0.2783780718
750	0.2782585891
751	0.2780318987
752	0.2779227823
753	0.2777602064
754	0.2776020143
755	0.2774528372
756	0.2772728661
757	0.2771151048
758	0.2769830257
759	0.2768570694
760	0.2767301009
761	0.2766081183
762	0.2765540102
763	0.2764693413
764	0.2762932558
765	0.2761784138
766	0.276110704
767	0.2759149962
768	0.2757953
769	0.2756424691
770	0.275409115
771	0.2752976796
772	0.275194874
773	0.2749647837
774	0.2748346438
775	0.2746977364
776	0.2745418496
777	0.2743800226
778	0.2743177434
779	0.2741913344
780	0.2740624658
781	0.2739241192
782	0.2737325743
783	0.2736143349
784	0.2733536518
785	0.2732211019
786	0.2730267973
787	0.272843628
788	0.2727204352
789	0.27256858
790	0.2725362175
791	0.2724489138
792	0.2722396024
793	0.2720944951
794	0.271829019
795	0.2716730085
796	0.2715774928
797	0.2713902153
798	0.2712606744
799	0.2711173993
800	0.2709512477
801	0.2707217896
802	0.2705580914
803	0.2704081231
804	0.270258045
805	0.2700974676
806	0.2698656468
807	0.2697066839
808	0.2695618019
809	0.2694678723
810	0.2691446934
811	0.2689862742
812	0.2688470142
813	0.2687372652
814	0.2685569248
815	0.2683997044
816	0.268197669
817	0.2679981792
818	0.2678665288
819	0.2676812293
820	0.2675086628
821	0.2673754643
822	0.2672646162
823	0.2671724038
824	0.2669762448
825	0.2667734397
826	0.2665696449
827	0.2664513388
828	0.266226993
829	0.2660777404
830	0.2659214805
831	0.2658695422
832	0.2657249637
833	0.2656462597
834	0.2654268689
835	0.2652120804
836	0.2650773911
837	0.2649091899
838	0.2648126925
839	0.2647274126
840	0.2646001341
841	0.2644726965
842	0.2643262218
843	0.2641320754
844	0.2639960176
845	0.2638663392
846	0.2636987191
847	0.2635510987
848	0.2633450323
849	0.2632293302
850	0.2630394563
851	0.2628757917
852	0.2627405874
853	0.2625454987
854	0.2624177885
855	0.2622598312
856	0.2621164131
857	0.2619830705
858	0.2618133277
859	0.2617155227
860	0.261541931
861	0.2613723533
862	0.2611378652
863	0.2609853469
864	0.2608065713
865	0.2606422694
866	0.2605491758
867	0.2603543582
868	0.2602145684
869	0.2600625028
870	0.259953295
871	0.2597961252
872	0.2596958058
873	0.2596019977
874	0.2594367359
875	0.2592858937
876	0.2590970822
877	0.2589810331
878	0.2588028276
879	0.2586217008
880	0.2584462798
881	0.2582739231
882	0.2581629853
883	0.2580415452
884	0.2580075003
885	0.2577956658
886	0.2576642071
887	0.2576207483
888	0.2574036579
889	0.2572367327
890	0.257123845
891	0.2569765295
892	0.2567890226
893	0.2567301727
894	0.2565233649
895	0.256352186
896	0.2560839216
897	0.2560082084
898	0.2558466673
899	0.2556994848
900	0.255563323
901	0.2554607604
902	0.2553426185
903	0.2552524485
904	0.255060825
905	0.2548775386
906	0.254821525
907	0.2547202506
908	0.2545891924
909	0.2544392265
910	0.2543238221
911	0.254237977
912	0.254109695
913	0.2539868261
914	0.253866889
915	0.2537631662
916	0.2536401235
917	0.2535854877
918	0.2533723244
919	0.2532621583
920	0.2531108483
921	0.2530077096
922	0.2528473082
923	0.2526472029
924	0.2524471706
925	0.2523746067
926	0.2521165856
927	0.2519047704
928	0.2517983146
929	0.2516402014
930	0.2514612819
931	0.2512743433
932	0.2510627403
933	0.2508979836
934	0.2507393304
935	0.2505971383
936	0.250429826
937	0.2503544683
938	0.2502473129
939	0.2501612303
940	0.2499560906
941	0.2497220567
942	0.2495864776
943	0.249413201
944	0.2492548946
945	0.2491408565
946	0.2490375925
947	0.2489340167
948	0.2487965268
949	0.2487065744
950	0.2485947112
951	0.2484902659
952	0.2483341423
953	0.2482824599
954	0.2481075498
955	0.248029949
956	0.2478797084
957	0.2477042335
958	0.2476538755
959	0.2475542565
960	0.2474456127
961	0.2472394902
962	0.2472105691
963	0.2470012912
964	0.2468256345
965	0.2466767109
966	0.2465716481
967	0.2464509121
968	0.2462326494
969	0.2459953435
970	0.245802752
971	0.2456969366
972	0.2455914211
973	0.2454573928
974	0.2453550804
975	0.2452864064
976	0.2451760775
977	0.2451400084
978	0.2449130195
979	0.2448418373
980	0.2446160682
981	0.2445242889
982	0.244340579
983	0.2442338341
984	0.2440447005
985	0.2439286382
986	0.2437691687
987	0.2437107329
988	0.2435286663
989	0.2432306996
990	0.2430950628
991	0.2429957741
992	0.2428828789
993	0.2427231652
994	0.2426235027
995	0.2424376712
996	0.2422154947
997	0.2421004564
998	0.2419462174
999	0.2418446325
